                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3422,                 4.2544,                 1.4059,                0.00444,                0.66667,                0.00656,                0.00146,                 2.8598,                 4.3951,                  1.576,                      0,                      0,                      0
                      2,                   2.48,                 4.1847,                 1.3554,                0.00444,                0.66667,                0.00665,                0.00149,                 2.8428,                 4.3864,                  1.562,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.5321,                 4.1982,                 1.3299,                0.00556,                0.83333,                0.00919,                0.00162,                 2.8359,                 4.4211,                 1.5413,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.7435,                 4.1768,                 1.2998,                0.00556,                0.83333,                0.00901,                0.00181,                   2.81,                 4.4491,                 1.5216,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.2021,                  4.157,                 1.1762,                0.00556,                0.83333,                0.00924,                0.00247,                 2.8146,                 4.4118,                 1.5234,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.4208,                  3.902,                 1.1938,                0.00667,                      1,                0.01303,                0.00312,                 2.8735,                 4.3014,                 1.5014,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.1877,                 3.7682,                 1.2516,                0.00667,                      1,                0.01281,                 0.0027,                 2.8538,                 4.2717,                 1.5216,             0.00011287,             0.00011287,             0.00011287
                      8,                  2.447,                 3.7131,                 1.3411,                0.00667,                      1,                0.01333,                  0.003,                 2.8302,                 4.2933,                 1.4805,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.3175,                 3.2809,                 1.2181,                0.00667,                      1,                0.01523,                0.00379,                  2.753,                 4.3619,                 1.4455,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.9536,                 3.1518,                 1.1863,                0.00667,                      1,                0.01601,                0.00398,                 2.6473,                 4.3843,                 1.4303,             0.00016396,             0.00016396,             0.00016396
                     11,                   2.07,                 2.5436,                 1.1373,                0.00667,                      1,                0.01663,                 0.0037,                 2.5273,                 4.3357,                 1.4063,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.0531,                 2.3029,                 1.1236,                0.00667,                      1,                0.01672,                 0.0047,                 2.3789,                 4.2347,                 1.3711,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.0617,                 2.0584,                 1.2306,                0.00667,                      1,                0.01766,                0.00554,                 2.2353,                 4.1111,                 1.3335,             0.00021149,             0.00021149,             0.00021149
                     14,                 2.1752,                 1.5782,                 1.1727,                0.00667,                      1,                0.01766,                0.00642,                 2.1808,                 3.9982,                  1.327,             0.00022654,             0.00022654,             0.00022654
                     15,                 2.0342,                 1.8961,                 1.0626,                0.00667,                      1,                0.01725,                0.00569,                 2.1838,                 3.9335,                 1.3393,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.0614,                 2.5429,                 1.2849,                0.00667,                      1,                0.01761,                0.00575,                  2.134,                 3.9232,                 1.3293,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.7673,                 1.8015,                 1.1186,                0.00667,                      1,                0.01787,                0.00609,                 2.0518,                 3.8528,                 1.3084,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.8295,                 1.2662,                 1.0747,                0.00667,                      1,                0.01787,                0.00609,                 2.0518,                 3.8528,                 1.3084,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.7323,                 1.6664,                 1.0674,                0.00667,                      1,                0.01735,                  0.006,                 2.0084,                 3.8476,                 1.3142,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.7888,                 1.4994,                  1.044,                0.00667,                      1,                0.01735,                  0.006,                 2.0084,                 3.8476,                 1.3142,             0.00030852,             0.00030852,             0.00030852
                     21,                 2.0046,                 1.6605,                   1.21,                0.00667,                      1,                0.01701,                0.00638,                 1.9445,                 3.7567,                 1.2735,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.9222,                 1.9722,                 1.1826,                0.00667,                      1,                0.01701,                0.00638,                 1.9445,                 3.7567,                 1.2735,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.8355,                 1.7889,                 1.0453,                0.00667,                      1,                0.01601,                0.00695,                 1.9102,                 3.7652,                 1.2502,             0.00034417,             0.00034417,             0.00034417
